,year,place_name,web_url,category,primary_use,address,city,ownership,location,image_url,ratings,description,province,country
10,2017,Basic Inquiry,http://www.lifedrawing.org/index.html,rehearsal,Museum/Gallery,"1011 Main St, Vancouver, BC, V6A 4L4",Downtown,Privately Owned,"{""coordinates"": [-123.1000334, 49.2758184], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/1.jpg?alt=media&token=f4afc4cd-62f2-4c11-8a98-b947ab47113b,2,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
11,2017,Bau-Xi Gallery,www.bau-xi.com,museum,Museum/Gallery,"3045 Granville St, Vancouver, BC, V6H 3J9",Fairview,Privately Owned,"{""coordinates"": [-123.1391799, 49.258496], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/3.jpg?alt=media&token=bd6228bb-e568-42b3-a506-3a551b5e8255,1,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
12,2017,Bill Reid Gallery,www.billreidgallery.ca,museum,Museum/Gallery,"639 Hornby St, Vancouver, BC, V6C 2G3",Downtown,Privately Owned,"{""coordinates"": [-123.119819, 49.284308], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/10.jpg?alt=media&token=41d2a644-57b0-4be2-9652-6fbbd3c6059d,4,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
13,2017,Biltmore Cabaret,www.biltmorecabaret.com?,performance space,Bar/Lounge/Cabaret,"2755 Prince Edward St, Vancouver, BC, V5T 0A9",Mount Pleasant,Privately Owned,"{""coordinates"": [-123.0962422, 49.2603045], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/11.jpg?alt=media&token=97342afb-bc0a-4809-8520-87ee55083e7c,3,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
14,2017,Bloedel Conservatory,http://vancouver.ca/parks-recreation-culture/bloedel-conservatory.aspx,rehearsal,Garden/Aquarium/Science Centre,"4600 Cambie St, Vancouver, BC, V5Y 2M5",Riley Park,Vancouver Park Board/COV,"{""coordinates"": [-123.113759, 49.242077], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/2.jpg?alt=media&token=20660e42-c9d0-4193-b830-2af707367ed4,1,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
15,2017,BMO Theatre Centre - Workshop,,gallery,Workshop,"162 W 1st Av, Vancouver, BC, V5Y 1A4",Mount Pleasant,City of Vancouver,"{""coordinates"": [-123.108535, 49.2702275], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/1.jpg?alt=media&token=f4afc4cd-62f2-4c11-8a98-b947ab47113b,2,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
16,2017,Burrard Marina Field House,http://vancouver.ca/parks-recreation-culture/burrard-marina-fieldhouse.aspx,studio,Artist Studio,"1655 Whyte Av, Vancouver, BC, V6J 1A9",Kitsilano,Vancouver Park Board/COV,"{""coordinates"": [-123.1402263, 49.2756879], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/2.jpg?alt=media&token=20660e42-c9d0-4193-b830-2af707367ed4,2,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
17,2017,Burrardview Park Fieldhouse,http://vancouver.ca/parks-recreation-culture/fieldhouse-programs.aspx,performance space,Artist Studio,"650 North Penticton st, Vancouver, BC, V6G 1Z4",Hastings-Sunrise,Vancouver Park Board/COV,"{""coordinates"": [-123.0519037, 49.2912065], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/2.jpg?alt=media&token=20660e42-c9d0-4193-b830-2af707367ed4,1,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
18,2017,Cafe Deux Soleils,www.cafedeuxsoleils.com/?,performance space,Cafe/Restaurant,"2096 Commercial Dr, Vancouver, BC, V5N 4B2",Grandview-Woodland,Privately Owned,"{""coordinates"": [-123.0693229, 49.2659754], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/11.jpg?alt=media&token=97342afb-bc0a-4809-8520-87ee55083e7c,2,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
19,2017,Cambrian Hall,http://www.welshsociety.com/Lab5/,artist studio,Community Centre/Hall,"215 E 17th Av, Vancouver, BC, V5V 1A6",Riley Park,Privately Owned,"{""coordinates"": [-123.1005648, 49.2559391], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/10.jpg?alt=media&token=41d2a644-57b0-4be2-9652-6fbbd3c6059d,2,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
20,2017,Canadian Memorial United Church and Centre for Peace,http://canadianmemorial.org/,studio,Place of Worship,"1825 W 16th Av, Vancouver, BC, V6J 2M3",Kitsilano,Other,"{""coordinates"": [-123.1468654, 49.2574655], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/3.jpg?alt=media&token=bd6228bb-e568-42b3-a506-3a551b5e8255,4,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
21,2017,Carousel Theatre for Young People,www.carouseltheatre.ca,gallery,Rehearsal Studio,"1411 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Government,"{""coordinates"": [-123.13523, 49.270336], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/10.jpg?alt=media&token=41d2a644-57b0-4be2-9652-6fbbd3c6059d,5,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
22,2017,CBC Outdoor Stage,http://www.cbc.ca,performance space,Plaza/Park/Band Shell,"700 Hamilton St, Vancouver, BC, V6B 2R5",Downtown,Government,"{""coordinates"": [-123.114669, 49.279299], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/2.jpg?alt=media&token=20660e42-c9d0-4193-b830-2af707367ed4,1,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
23,2017,Centre Culturel Francophone de Vancouver,www.lecentreculturel.com?,rehearsal,Community Centre/Hall,"1551 W 7th Av, Vancouver, BC, V6J 1S1",Fairview,Privately Owned,"{""coordinates"": [-123.1399958, 49.2653925], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/11.jpg?alt=media&token=97342afb-bc0a-4809-8520-87ee55083e7c,1,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
24,2017,Ceperley Meadow,,performance space,Plaza/Park/Band Shell,"Stanley Park, Vancouver, BC",Stanley Park,City of Vancouver,"{""coordinates"": [-123.148518, 49.293772], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/1.jpg?alt=media&token=f4afc4cd-62f2-4c11-8a98-b947ab47113b,5,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
25,2017,Charles H. Scott Gallery,www.chscott.ecuad.ca?,gallery,Museum/Gallery,"1399 Johnston St, Vancouver, BC, V6H 2R9",Fairview,Government,"{""coordinates"": [-123.132876, 49.270485], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/1.jpg?alt=media&token=f4afc4cd-62f2-4c11-8a98-b947ab47113b,5,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
26,2017,China Cloud,https://www.facebook.com/liveatthechinacloud/,rehearsal,Artist Studio,"524 Main St, Vancouver, BC, V6A 2T9",Strathcona,Privately Owned,"{""coordinates"": [-123.099277, 49.279979], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/11.jpg?alt=media&token=97342afb-bc0a-4809-8520-87ee55083e7c,5,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
27,2017,Chinese Cultural Centre,www.cccvan.com?,studio,Community Centre/Hall,"50 E Pender St, Vancouver, BC, V6A 3V6",Downtown,City of Vancouver,"{""coordinates"": [-123.1032, 49.280315], ""type"": ""Point""}",https://firebasestorage.googleapis.com/v0/b/explorer-8b11d.appspot.com/o/1.jpg?alt=media&token=f4afc4cd-62f2-4c11-8a98-b947ab47113b,1,"orem ipsum dolor sit amet, consectetuer adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec quam felis, ultricies nec, pellentesque eu, pretium quis, sem. Nulla consequat massa quis enim. Donec pede justo, fringilla vel, aliquet nec, vulputate eget, arcu. In enim justo, rhoncus ut, imperdiet a, venenatis vitae, justo. Nullam dictum felis eu pede mollis pretium. Integer tincidunt. Cras dapibus. Vivamus elementum semper nisi. Aenean vulputate eleifend tellus. Aenean leo ligula.",british columbia,Canada
